id,user,commentText,Labels
UgyUPwZO-D0cXdf4Eet4AaABAg,Gomathi Madheshwaran,Big process,6
UgwifHa_gQgDVkT9Trd4AaABAg,Deepika Kharvi,I tried it today it came out delicious.. I have added kade masala and other  ingredients 1.5 times more for 2kg chicken and 1 kg 100 gm  basmathi rice and i followed each and every step  it came out really well.. My family loved the recipe.. Thank u for sharing this recipe😊,5
UgxaTEE9qkGhdkPaDsV4AaABAg,Bubu Maharana,Kitne log khayenge,6
Ugw-nNIDxDt6M2FCDHx4AaABAg,Hero Hiralal,Ab ye javitri kya hota hai ?,7
UgweFJTOOi3bOzoMwZt4AaABAg,surya narayan,Mene ye try kiya & it's delicious. Thnkuu for d lovely recipe mam,5
UgyTOPjeuqkuLdW_IHF4AaABAg,Thenu Srinivasan,"Very nice kabita sis👌
I'm in Madurai Tamil nadu",3
UgzE_bEjlk5XvqLd6YB4AaABAg,Siraj Lal,nice presentation,4
UgzudcwTypPMJlKDJ9R4AaABAg,vijay bhochiya,Wow nice,3
UgwvxomMA6r1JKqxxtJ4AaABAg,Nirmal Kumar Das,1kg chiken main kitna dahi cahiye,7
UgzgusIIL_ZRiz8a84h4AaABAg,Bapina Sahoo,Agar rice and chicken ka quantity Kam ho to timing same rahega??,7
UgzZ0FZgLEuE9Lhclcp4AaABAg,Trupti Chari,"mene app ki biryani try ki bahot achi bani. sab ko achi lagi. 
lekin muje agar jada grevy chahiye to kya kare.
thank you ☺☺",5
UgzKeX3OW3vaeBdb-6d4AaABAg,Vinita Baviskar,Maam Kya Ghe ke jagah batter use kar sakte he kya,7
Ugx0SmSs30kuWgrjgeB4AaABAg,Salman,How much time should I cook on stove if I’m making it with beef?,7
Ugw18NzfFJ6KQqSYWHR4AaABAg,Abhishek Kumar Singh,U r the best chef on youtube mam.,4
UgwU6SxRUrNjkm3AC-14AaABAg,Duke SHEIKH,Mam aapne kitne chawal me kitna pani liya...pakane ke liye...kyuki jb bhi mai banati hu...tb chawal sahj se cook hote hi nhi...plzz mam ek baar sahi se bata dijiye,7
UgygNpsJ3VaSk0PX8qF4AaABAg,sharanya divakara,"Super recipe mam ....I tried it... It was awesome.... Thanks a lot... super you are
Keep going👍",5
UgwWhIZ9BQAP9Rq5tFt4AaABAg,Shivani Singh,Amazing  recipe best,2
Ugx8bHW7w5s2OfUmtgZ4AaABAg,Aavej Multani,mam chikn ke pis kacche nahi rahenge ?pls mere qustion ka aanswer dena pls,7
UgzLPkcePh4kkZZSCNt4AaABAg,Nithya VR,"Hai dear.. I'm from Kerala.. Big fan of you and hyderabadi Biriyani.. I have a doubt.. 

I don't have non stick pan. In that case what type of vessel is to be used for the dum step",5
Ugx87IcuTz5dD06Ijap4AaABAg,RUPASRI PATTANAYAK,Thank you,1
Ugy1tFmzBj-WSPSeFvp4AaABAg,saleha meraj,I tried it ...it was very testy...😛😛😛,2
Ugx3n0zn3IPsY-HTSpp4AaABAg,Vicky Deore,Your cooking is so neat and clean,4
UgxlmUJL6tXfljUoqlJ4AaABAg,luiza lobo,World best briyani. I have moved to Canada and I have craved for my moms Biryani and this tastes exactly like it. Thank you so much. ❤️❤️❤️ 100/100 MUST TRYYYYY IT,5
UgywLZjWX_Z8sCHDbOV4AaABAg,manikangkankana Deka,Hii maam..i have a question to ask..u have taken 600g of chicken for dis biryani and so d timing is as according..but what if we vary d amount of chicken..is d timing stil same or how vl we change d timing?pls help..,7
UgxOf3VXU815Wa250I54AaABAg,gautam jha,Bhauji agar mutton 1.5 kg aur chawal 1 kg ho to timing kya hoga...,7
UgyL4v5k27Bum0h0-nF4AaABAg,Been Al,Itna aata zayaah krna dum dene k lye himaqat nahi ??,7
UgwckGs5E1lJRG2fnxB4AaABAg,ARYAN ABHINAV,Pahle Mai sochta tha doctor se hi Sadi karunga ...but iss video ko dekhne ke bad lagta hai hotel management best hogi mere liye ...your husband is really lucky ..I wish someday my wife coocked same for me ..,6
UgzhKdlf7bdUo3_Z2yF4AaABAg,manjit singh,I tried ....yummy ....thank u kabita mam.....,5
UgzkYFPmsKw_aZy67zp4AaABAg,bibspinku,It's a perfect recipe for Chicken Dum biriyani...I simply followed each step and my biriyani was awsum in first try..thanks for sharing and we'll describing during the video ...,5
UgzAF9KBU0zpaEeO-xJ4AaABAg,Sunil Devnani,"Hello Kabita Ji
Good day
I am in Dubai and i had cooked today Biryani and its cooked so delicious.
Thank you so much 😊",5
Ugw-6Vtgz0bF6h7olC14AaABAg,Ajit Saware,I made exactly same.. And u knw what.?? It was insanely awesome.. D best ever than any restaurant.. Thank you very much Ms.Kabita..!!,5
Ugxumz5WJiY5havDXIF4AaABAg,Reena Thakur,Nice recipe,2
UgyMuWNiFDbo7g9DIWF4AaABAg,Pragya Singh,Kukar me ni bna skte???,7
UgxGVydEWAGzgko40Jx4AaABAg,Iftikhar Ali,Hyderabadi khachy ghost ki biryani,6
UgwOOlrU8xGDBh6i5TJ4AaABAg,Shahina P,"Hello mam,  I tried this biryani recipe today and it turns amazing 💕😍...  Thanks alot for such delicious biryani,,  India's No. 1 cooking Channel - #Kabita's Kitchen 🙏🙏",5
UgxIs_WdB2vHBzgD7Vh4AaABAg,Maria Mascarenhas,"hi mam I have tried many receip such as upma pea nut chutney ,phoa,dosa,and now biryani all the recipe turned out so good that I was appreciated thank u so much  for your clear explaination of ur recipe god bless you and keep it up 😀👍👍👍👍👍",4
UgwXNr2HqviGEA-J8h54AaABAg,Pk Films,Madam ye rice kitne rs waale ha ?,7
UgzE1QTUegZI73Kvyp54AaABAg,Saliim Mohammed1,Oh wow that was so simple yet delicious... Will try,2
Ugxx9Sp6dzS51ktURa54AaABAg,Vineet Panchal,Bhai koy try mat karna me ne try kiya me ra pura chikan jalgaya,6
UgxnpcR2MWJ7uQVaHst4AaABAg,Minni's World,I will try it. You are doing great job👍,4
Ugx2f-ADa9G10OHLYZp4AaABAg,merlyn varghese,"Hi kabita,I tried the biriyani,it was tasty,but i had lot of water collected at the bottom of the vessel.How can i solve that",5
UgxQSBuj8hxXNJawzZp4AaABAg,milind rathod,MADAM CHICKEN ME DAHI DALNE SE CHICKEN KHATA TO NAHI HOTA HAI NA....,7
UgzERjtrsGW2mgGz68p4AaABAg,ALL. Is. well....,Madam simple wale chawal m bna skte hai kya,7
UgzqMqJEeN1KSLiG0fJ4AaABAg,ALL. Is. well....,"Madam chiken kaun sa legne leg piece wala ki 
  Jo dukan pr kaat kr dete hai",7
UgwL01Jf7BSAWWksX794AaABAg,shaik sadiq,"madam,shahi biryani masala kaisey banaye,?? ya phir a bahar karidley..",7
UgzsU9qbl63moloUNxt4AaABAg,Revisha Nair Rajendran,"
The measurements are pretty accurate with simple step-by-step explanation. Best wishes from Malaysia ♥️🙏🏽",4
UgwIEnhz9y88wCtAdpF4AaABAg,MD AMIR,Agar 1kg chaval  lege to kitna Dahi lena hai plz pty,7
UgzoWqMN2BY8W3v98CF4AaABAg,MD AMIR,Sahi me use aap but jyda mere hai,6
Ugy2mr0o5wU6O0Y2p8l4AaABAg,Amiya Bisoi,Nice kabitaji for a easy information,4
UgxuQXYk-CKIIbx_oa14AaABAg,Mohd Shameem,HE RAAM CHICKEN B.J.P WALO SE BACH KE RAHIYO MULAA GHOSIT KAR DENGE. SORRY JOKES😊😛,6
UgwvltxCX9RUiKyrYZZ4AaABAg,Manal Siddiqui,"Your way of cooking is very good .......your all recipes are fantastic .....I will try this biryani on saunday .....& please upload the recipe of chicken momos ...
Love u so much kabita dii",4
UgzVpOmbbd2i3JwZTid4AaABAg,Abhinav,"So nice    
Awesome!!!!",3
Ugwa9FEkK_voG2cFx6l4AaABAg,Benny Anmol,"Atta k Dough me crack aa ja rha he aur pressure release ho ja rhe he, any solution?",7
Ugy-tIULPX0Dug9rslZ4AaABAg,Krishna kumar,"Kabita mam, you are the only reason i learned cooking. 
Not only that i made cooking as my hobby, being a bachelor my roommates always wait for me to come from office and make something for them. 
All the credit goes to you mam, you are really awesome.😊",4
UgxTrkXYtjNfXtP2k7N4AaABAg,Keerthi Reddy,"Hello mam,
I tried this recipe today and it was awesome👌
I have never tasted such biryani in any other restaurant earlier",2
UgwQXamr8GBl1gQKmht4AaABAg,Rizwan Sayyed,So nice 😋😋😋,3
UgyK-ZCfpwZNUAEq33J4AaABAg,Satwinder kaur,U r a magician....jus love your every recipe....,4
UgyRaR7kl6aZWXLQFu94AaABAg,Mariya Sajad,yummy recipe very nice i tried it .it was very tasty,2
Ugyfc4rmb_Q0pjxU3EF4AaABAg,Junaid Kazi,Or Bht Achchi Bani Thi  Chicken Dum Biryani Thanku So Much Kabita Di 😘😘😘,5
UgzX5gEILRWw-4PAPDV4AaABAg,Finu Yasir,Am sorry...can u please the cooking time once again.. how many minutes ?,7
UgwAcU46JED4peWBjht4AaABAg,Larin Camilo,"Mam aapki recipe bahut achha laga aur aapka bathane ka tarika bhi bahuti achha hai. Mam mera ek sawal hai Aapne usko seal karke banaya hai agar mai iss beiyani ko pressure cooker me banane se kaisa rahega, pl mam aap bathayenge.",5
Ugye3cSpt9PV_-q6JPB4AaABAg,sandy parker,This is going to my first cook ever in my life...,6
UgwP40d0SmMeswmTo3t4AaABAg,Abhilipsa Samantaray,Delicious kabita mam u are really great..... ,4
UgxhNhus-S_BB6IJUnJ4AaABAg,Mayuresh Aher,nice recipe,2
UgwhJq58FzVXpTdqi2F4AaABAg,Trupti Chari,apne to aata bataya hi nahi,6
Ugyg1I480mgM7L9RUjR4AaABAg,Ashish Verma,What is low medium flame either it wud b low or medium?,7
UgwrIK0WNxvyO3bWtZB4AaABAg,Ravi Chauhan,It’s delicious but very time consuming 🙁🙁🙁🙁🙁🙁🙁,2
Ugwe0r0WkTjEgq3eGTh4AaABAg,Mohammad Zarab,I never cooked biryani but looking at this video i have to try this looks ever so nice,6
UgwbvQ7T5MulP8I77NJ4AaABAg,Deepurani T,Just perfect recipe mam..  Thanks a lot... Keep up the good work...,5
Ugzu9tv4UFpAQj9FfWB4AaABAg,Deepurani T,Trying today... hope it comes gud,6
UgyTqo3dZZeGpMljygB4AaABAg,Akshay Bissoyi,Oil to bilkul daala hi nahi aap ne,6
UgytqjPrmkfs9dCVz514AaABAg,Rahul Poduval,How many people will it serve???. Want to try it tomorrow,7
UgxN7Hb38YkjRIK2nwB4AaABAg,Anurag Kushwaha,Bahut hi achhi recipe hai...  Mujhe bahut pasand hai...  Hmesa market me hi khane jana padta tha...  Lekin ab ye problem bhi door ho gyi....  Thanks mam...,5
UgxFuiRVwIYmbefzMDZ4AaABAg,Taushil Khan,Very nice cooking style,4
UgxM3RstVoP8FOs_K1p4AaABAg,Sandeep Kumar,This biryani is just awesome I had made in my home... The major problem we face while making in biryani was that the bottom use to get burned but the way u said nothing got burned.... And one more thing if we add 2table spoon of oil while marinating the chicken it will even give more taste,5
UgxOLSSDrwDdm6OBGL14AaABAg,MANDEEP SINGH,"You are a wonderful chef and instructor..
Keep up the good work...",4
UgxihAZMbNGD62J932J4AaABAg,Divyaraj Surma,"U added no cooking oil, wil it work??",7
UgxmYBVzONcMKMcGKWF4AaABAg,santosh reddy,Pls learn Telugu,6
UgzTNVniR94-KKzUDWt4AaABAg,Vijay Sahu,Jab ghee dalte hai to uska taste ya smell aata hai kya kyu ki mujhe ghee kewal roti k saath hi aacha lagta hai,7
UgwcZQTahINfL0k-hWl4AaABAg,Shalu Kureel,Biryani pan ki jgah cookar me bna skte h kya,7
UgybzHmBpgK7DgGrEHF4AaABAg,Bhumika Gowda,what if I don't want dum biriyani but I want normal one shouldn't I seal the edges of the pan....  answer me please,7
Ugx3RVN1vkztl0vvXTJ4AaABAg,KARRI ESWAR RAO,Tq sister...... It was amazing...... All of you try it....... Superb sister......,5
UgyCx-DC3ZAimQnonlJ4AaABAg,HARI NARAYANA GAVALAPU,If we make 2kg of chicken biryani then what are the timing?,7
UgwU_lQ3hMzQfe9NRZd4AaABAg,Essam T,Hi✋🌷and thank u,1
Ugz5TGYqjxk3xVh0N594AaABAg,Vaddadi Renuka,Super your recipes are amazing 👍,4
UgxtFBV_kcoB5ONEDtx4AaABAg,Sayeema Afrin,Hello mam plzz i want a recipe of biryani masala powder plzzz,6
UgyGVIHxuhKvDGtkYgp4AaABAg,CRITICAL #,Thanks,1
UgxSOh4NorqX01hj3Ip4AaABAg,Ladli Khan,Very nice recipe,2
UgwECwmNRwSr0F67U0x4AaABAg,Shekhar Mandal,2 good Mam very nice recipe,2
UgwEGHqjtC4cAGv-FtF4AaABAg,Gauri Chavan,Today I tried this recipe it was Awesome....My husband loved it....Thanks alot for making my day...,5
UgxXRTmRMl6nrY78sBF4AaABAg,Dhanashree Sangole,Timing explain kijiye plzzzzz,7
UgzHLXccYTmovrrWCht4AaABAg,Dhanashree Sangole,Biryani ka timing nhi samjha,6
UgyPaIFSCnOjTmsiqxV4AaABAg,Anjali Sethy,Ma'am kitina bhi jayada biriyani ho..timeing same rahega na? Plz reply maam,7
UgyypJbSLUz7atTRGv54AaABAg,Priyanshu. Pati,Agar tawa nahi hai to direct heat kar sakte hai,7
UgyTGVdjqxf410dLT5t4AaABAg,Esha Atique,"hii mam,mera biryani bht acha bna 
bt chckn hlka sa lg jata h 
aisa q hota h",7
Ugxtrqy9wizF4cDynRd4AaABAg,Shaikh Talib,Bahot best,3
UgwscQQAvurD1dy3XeR4AaABAg,Aditya Kumar,Thanx mam .ur biryani is just superb.my family loves it very much.,5
UgwO_4bm78ZMue2ZiVd4AaABAg,Zoya Khan,Pudina patta na ho to kadi ptta use kr sakte h,7
UgwZN9q5N2yD1EDPQQ54AaABAg,Tarun Rana,man dahi ko replace karke kuch aur nhi daal sakte,7
UgyacNzLktRBFEPYNIZ4AaABAg,Pratima Singh,Awesome recipe thank you very much,5
UgwxExrwXlPhKc1tm5h4AaABAg,Prajwal H LAMBA,"Love the content, keep up the good work :)",4
UgxSENWdRzGYm0TDtuZ4AaABAg,Yungkham Jerina Devi,Hi mam 25 people ke liye kitna amount Rice and Chicken use krna chahiye plzzzzz reply me mam,7
UgyXMFs5KoWETIy0Tyd4AaABAg,Sangeeta Mohanty,"ye. meri 3, rd tym h..me aapki recipe follow karti hnu
...ye toh restaurant ki biriyani se v bahat bahat bahat acha h...juzz lv it..Well done..mam",4
Ugwt1rRPxZGE7UIKi_94AaABAg,Jessica Rabbit,"Seeing other people's positive comments definitely makes me want to try this recipe!! I'm giving it a go this weekend, thanks for sharing your recipe 😊",1
UgwX22DL-PE0HSGPLTR4AaABAg,Tapati Saha,Mam you are the nest chef 👏👏👏,4
UgwqxpI-7c0eD0D-RJB4AaABAg,ALL. Is. well....,Kesar na ho to madam,7
UgyQ_a8XsWmUlJm93tJ4AaABAg,Nirmal Jana,Ma'am please app fried chicken biriyani  recipe ki video baaniye,6
UgzifijCQ2VdWrUaTSh4AaABAg,Iqbal Iqbal,Please never forget to write ingredients in the description below.,6
Ugws-l_nCTabnTAFsUB4AaABAg,Harneet Bhatia,You had explained it so well that even the cook at my house can make biryani so well...it's soooo yumm yumm...one of the best biryanis I have ever tasted..we should thank you for such a good recipe..and because of you we can have biryani at home now,5
UgwqH_QnEE6Su9uWQ6R4AaABAg,Yashwant Chandrakar,itne der tak biryani banane se accha bahar se hi order kar lo...,6
Ugy5zJhvHEX-9aAu5kN4AaABAg,Ravi Kumar,Kitchen king acha sabji poudar masala bataiye na,7
UgwjcKvYvQVOejN6gdF4AaABAg,Anjum Ishtiyaq,Very nice biryani,2
UgxMUzjR2KshubmqFTl4AaABAg,Kunal Sanyal,Maam you are one of the nicest youtubers of the country.Keep the good work going on.,4
UgyFl8-yKAE2pHuATMx4AaABAg,Dsouza Seby,Chicken me masala lagakar fridge me kitna Samai tak rakh  sakhte hai?,7
Ugx3DwVc3SKviETeFNR4AaABAg,Faiyaz Alam,agar thora masale dar chaye to kya kre,7
UgzmHApgCjE7cCNKH2B4AaABAg,Mou Roy,U are great mam �...�so cute 👑👑👑👑,4
Ugw2CYt1I7Nul7V_-kN4AaABAg,HARITHA NAIR,I'm from India but living in Germany Ur recipe has been a life saver for me😍thankyu,5
UgwOK6pKHXaLIu05DgJ4AaABAg,Priti saigal,You only marinated the chicken did not cook before putting rice,6
Ugz4Bfp48A4RaYR1GJF4AaABAg,Lakky Rawat,Hi Kavita...I tired ur recipe...it was delicious...but only one problem was there...the rice was dry....can you please suggest how to make rice soft....thanks.,5
UgzTWm0Vbyt1V7No3bZ4AaABAg,Anu- rag,Mam mujhe nai khana bana ke itna lamba proses kuch chhota or aasan sa btaiye plzz,6
Ugxf4NL6ykzYb7Ovd0N4AaABAg,sanjeeta pal,We can skip curd mam,7
UgzIoRyyH9WN1ENZlSx4AaABAg,bharat khatwani,Which brand of Basmati do you recommend for this recipe? Do you recommend parboiled Basmati (sela/seila) over regular basmati?,7
UgyNo1q9ri9iDXmpCGN4AaABAg,Varsha Rajput,"Pudina ko skip nhi kar skte kya
..qki ye local market me available nhi hote",7
UgyLZfhhDJaNh4RRH1p4AaABAg,Prakash Kereppanavar,25000 calories in one go,6
Ugzw0VsC82geoZv513t4AaABAg,khizra ch,Mam agar aloo bokhare dalne ho tho wo chicken ke andar daal dene h jo marinate karte howe? Our kya chicken ko pehle cook nei kar sakte? Ese darr lagta h ke chicken pakke naa yaa jal na jae.. Please reply,7
UgwgejSyykRa5jlY_mp4AaABAg,Khan Shab 007,Mam chiken ko ache s saaf to krlijiye gnda h jb chiken itna gnda h to biryani ka test kaise acha ho akta. Plz agli recipie m chiken ko ache s saaf kriyega safai pr dhiyan  de,6
UgyCg9ZH1q0nPwlEMzd4AaABAg,akki 777,I tried this recipe today..chicken was cooked beautifully as well as rice but my masala got burned n stuck on the bottom...was it due to little steam which was passing during dum ? My dough has two leakage spot,7
UgwCxv5K5KwLumeJ13l4AaABAg,Rani Dewangan,very nice recipe I will try😋😋😋😋😋,2
Ugy12-EJC6aekVqulHt4AaABAg,Azam Badar,"Hi Kabita, I tried this biryani at home and taste was good. I used flour to seal the pot but seal got leaked in middle and biryani got burns in bottom. Any idea how to properly seal the pot?",7
UgyzSxBefDh4Bt0fPfV4AaABAg,Ankita shah,"Hi Dear, 
I made this Biryani yesterday same as per your instructions but my lower chicken got burned and it ruined the whole dish🙁",6
Ugxb5wrV8X5q9z5IEX94AaABAg,Jaywant Surve,5 kg chicken biryani ...how much time required for cook the chicken ......can say that... PLEASE,7
Ugx3LJ_wqFCkaAlUm0p4AaABAg,Abhishek Singh,Thick pot ki jagah par kya use kar sakte h,7
Ugxy3MxRWauVL_Wb9oJ4AaABAg,dorito006,The meat looked uncooked,6
UgyQbijd1qYPO2_dphJ4AaABAg,Heena Anwar,How to make shahi biryani masala,7
UgxE4xWqOqZQqA8kv2V4AaABAg,sangita sarkar,kabita ji apki recipe bohot simple hai  ....ap jeshe bol kar karte hai bhot acha hai  �,4
UgzYchr-HKsH4Vl4lLl4AaABAg,ajay singh,Mam oil kab dalna hai,7
UgydmC7jqs9PIrXtJdt4AaABAg,Engg.Dinesh Gupta,it's taking more time,6
Ugzsh4zonx3tns2Kseh4AaABAg,kruti chauhan,Will try it sure!! Thank you!!😊,1
Ugwbj34hMupTMO1PmF14AaABAg,karina patnaik,Superb mam....👍👍,3
UgwGT55NuPN-4aEVZ4l4AaABAg,urmila tiwari,This is too much spiciy,2
UgyYhmoXUhGzrQx1sa14AaABAg,NILIM NATH,I have also tried this recipe multiple times. Really yummy recipe....if anyone is a beginner u can check her cooker biryani recipe...its easy quick and delicious,2
UgyN0OJWyaoQIrdAYtd4AaABAg,herry mehto,chicken pak jaayega aise,7
UgyR2rnTheWSYlmBCVl4AaABAg,Anjali Sethy,Maam Kia hum chicken ki do layr laga skate hai,7
Ugz94TGtcKNJqVVAJud4AaABAg,Laiba Ansari,Isse achchi to meri mumma bnati  h,6
UgyBQ2cniyJkAKbBuuh4AaABAg,rocky rawlo,aap master chef ho,4
Ugy3JUYBb0IRsgr8bcx4AaABAg,Shreyash Chevale,Oh! Wow!,3
UgwpqMqltOotNpQRzk94AaABAg,hrishi kesh,Ye kachi dum biriyani he,6
UgxbDWQYuM06hvFQVWp4AaABAg,jyoti jena,"I tried it n it's really soo yummy mam
Thanks a lot for uploading this delicious receip",5
